,Unnamed: 0,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
384,384,sao gabriel da cachoeira,BR,-0.1303,-67.0892,76.8,88,75,3.04,broken clouds
387,387,santa rosalia,MX,27.3167,-112.2833,79.41,25,100,5.48,overcast clouds
388,388,tabuk,PH,17.4189,121.4443,79.36,79,40,5.1,scattered clouds
390,390,barda,AZ,40.3744,47.1267,78.08,43,14,9.4,few clouds
391,391,honiara,SB,-9.4333,159.95,75.85,89,100,3.24,overcast clouds
394,394,wanning,CN,18.8003,110.3967,82.47,86,36,8.08,scattered clouds
396,396,namibe,AO,-15.1961,12.1522,79.14,59,0,10.67,clear sky
401,401,komsomolskiy,UZ,40.4272,71.7189,84.92,24,43,6.91,scattered clouds
411,411,katobu,ID,-4.9408,122.5276,76.62,90,15,6.89,few clouds
412,412,luena,AO,-11.7833,19.9167,76.87,26,0,4.27,clear sky
413,413,progreso,MX,21.2833,-89.6667,84.11,66,36,7.61,scattered clouds
414,414,laem sing,TH,12.4816,102.0738,82.96,82,100,10.25,overcast clouds
418,418,trincomalee,LK,8.5711,81.2335,82.62,78,49,22.53,scattered clouds
424,424,oistins,BB,13.0667,-59.5333,86.09,54,40,23.02,scattered clouds
425,425,pahrump,US,36.2083,-115.9839,81.68,20,0,1.01,clear sky
429,429,palu,ID,-0.8917,119.8707,77.2,96,33,3.02,scattered clouds
