City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
257,Lorengau,PG,2021-05-26 15:15:32,-2.0226,147.2712,80.26,84,100,4.0
258,Gubbi,IN,2021-05-26 15:15:33,13.3106,76.9444,76.39,70,100,9.26
259,Townsville,AU,2021-05-26 15:15:33,-19.25,146.8,61.68,100,15,1.14
260,Pangnirtung,CA,2021-05-26 15:15:34,66.1451,-65.7125,28.74,79,7,3.53
261,Ribeira Grande,PT,2021-05-26 15:15:34,38.5167,-28.7,66.6,59,20,9.22
262,Dunedin,NZ,2021-05-26 15:15:35,-45.8742,170.5036,45.81,45,5,11.99
263,Rosa Zarate,EC,2021-05-26 15:15:35,0.3333,-79.4667,77.23,89,99,2.75
264,Calbuco,CL,2021-05-26 15:15:36,-41.768,-73.1273,56.41,92,100,8.23
265,Sindgi,IN,2021-05-26 15:13:15,16.9167,76.2333,87.48,47,100,23.04
266,Berlevag,NO,2021-05-26 15:15:37,70.8578,29.0864,41.0,60,75,4.61
267,Tilichiki,RU,2021-05-26 15:15:37,60.4667,166.1,32.65,96,100,5.99
268,Gushikawa,JP,2021-05-26 15:15:38,26.3544,127.8686,80.19,89,75,15.3
269,Ipojuca,BR,2021-05-26 15:15:38,-8.3989,-35.0639,82.31,60,54,12.55
270,Senanga,ZM,2021-05-26 15:15:38,-16.1167,23.2667,79.99,22,0,6.51
271,Margate,GB,2021-05-26 15:15:39,51.3813,1.3862,61.72,69,44,15.52
272,Andenes,NO,2021-05-26 15:15:39,69.3143,16.1194,44.58,76,20,26.46
273,Bubaque,GW,2021-05-26 15:15:39,11.2833,-15.8333,78.85,74,97,10.98
274,Wanxian,CN,2021-05-26 15:15:40,30.8039,108.3897,66.6,95,100,3.69
275,Savannah Bight,HN,2021-05-26 15:15:40,16.45,-85.85,86.0,79,84,18.77
276,Shatalovo,RU,2021-05-26 15:15:41,54.334,32.4465,57.94,85,100,8.81
277,Inta,RU,2021-05-26 15:15:41,66.0317,60.1659,43.79,36,59,16.58
278,Cabedelo,BR,2021-05-26 15:15:41,-6.9811,-34.8339,86.67,68,2,18.5
279,Saint Anthony,US,2021-05-26 15:13:38,45.0205,-93.218,58.93,64,90,5.01
280,Phek,IN,2021-05-26 15:15:42,25.6667,94.5,62.67,96,100,2.91
281,Harper,LR,2021-05-26 15:15:42,4.375,-7.7169,84.45,71,66,9.42
282,The Valley,AI,2021-05-26 15:15:10,18.217,-63.0578,84.81,65,40,17.27
283,Xapuri,BR,2021-05-26 15:15:43,-10.6517,-68.5044,85.68,52,35,2.15
284,Esperance,AU,2021-05-26 15:15:43,-33.8667,121.9,56.41,65,93,14.32
285,Yenagoa,NG,2021-05-26 15:15:44,4.9247,6.2642,86.47,70,100,6.35
286,Ambulu,ID,2021-05-26 15:15:44,-8.345,113.6058,76.26,90,71,4.47
287,Shirgaon,IN,2021-05-26 15:15:44,19.7,72.7,84.45,71,100,15.08
288,San Angelo,US,2021-05-26 15:13:52,31.4638,-100.437,80.82,72,90,7.0
289,Clyde River,CA,2021-05-26 15:15:45,70.4692,-68.5914,28.63,93,75,14.97
290,Babushkin,RU,2021-05-26 15:15:45,51.7122,105.8647,41.07,95,99,12.82
291,Acari,PE,2021-05-26 15:15:46,-15.4311,-74.6158,75.85,56,77,7.47
292,Noumea,NC,2021-05-26 15:15:46,-22.2763,166.4572,70.0,99,13,4.76
